CHEMBL_ID	TID	PREF_NAME	PROTEIN_ACCESSION	TARGET_TYPE	ORGANISM	COMPOUNDS	ENDPOINTS
CHEMBL3057	13082	Cytochrome P450 2D3	P12938	SINGLE PROTEIN	Rattus norvegicus	11	11
CHEMBL3335	17028	Cytochrome P450 2B1	P00176	SINGLE PROTEIN	Rattus norvegicus	110	145
CHEMBL3379	10743	Cytochrome P450 4F2	P78329	SINGLE PROTEIN	Homo sapiens	16	24
CHEMBL4428	13056	Prostaglandin I2 synthase	Q16647	SINGLE PROTEIN	Homo sapiens	90	98
CHEMBL4970	100120	Cytochrome P450 11B1	P15393	SINGLE PROTEIN	Rattus norvegicus	39	44
CHEMBL5594	100124	Cytochrome P450-cam	P00183	SINGLE PROTEIN	Pseudomonas putida	11	18
CHEMBL3430866	109623	Cytochrome P450 3A9	P51538	SINGLE PROTEIN	Rattus norvegicus	0	0
CHEMBL3509596	109685	Cytochrome P450 2C13, male-specific	P20814	SINGLE PROTEIN	Rattus norvegicus	1	2
CHEMBL1978	65	Cytochrome P450 19A1	P11511	SINGLE PROTEIN	Homo sapiens	2708	4878
CHEMBL2927	12347	Cytochrome P450 11B1	P15150	SINGLE PROTEIN	Bos taurus	46	71
CHEMBL3849	11188	Cytochrome P450 51	Q16850	SINGLE PROTEIN	Homo sapiens	75	90
CHEMBL3323	100801	Cytochrome P450 3A1	P04800	SINGLE PROTEIN	Rattus norvegicus	13	14
CHEMBL3356	12594	Cytochrome P450 1A2	P05177	SINGLE PROTEIN	Homo sapiens	21219	23426
CHEMBL4085	20086	Cytochrome P450 2A5	P20852	SINGLE PROTEIN	Mus musculus	51	91
CHEMBL6171	101469	Cytochrome P450 1A1	P00184	SINGLE PROTEIN	Mus musculus	56	56
CHEMBL2406897	107632	Cytochrome P450 2W1	Q8TAV3	SINGLE PROTEIN	Homo sapiens	1	1
CHEMBL3779754	116757	Steroid 17-alpha-hydroxylase/17,20 lyase	Q2XVA1	SINGLE PROTEIN	Macaca fascicularis	2	9
CHEMBL3324	100802	Cytochrome P450 3A2	P05183	SINGLE PROTEIN	Rattus norvegicus	5	7
CHEMBL3397	12911	Cytochrome P450 2C9	P11712	SINGLE PROTEIN	Homo sapiens	23372	28652
CHEMBL3721	10163	Cytochrome P450 2C8	P10632	SINGLE PROTEIN	Homo sapiens	555	725
CHEMBL4981	10741	Cytochrome P450 51	Q64654	SINGLE PROTEIN	Rattus norvegicus	11	17
CHEMBL1075125	103053	Cytochrome P450 1A2	P04799	SINGLE PROTEIN	Rattus norvegicus	35	65
CHEMBL2364675	106175	Cytochrome P450 3A	P08684, P20815, P24462, Q9HB55	PROTEIN FAMILY	Homo sapiens	1	1
CHEMBL3390825	109550	Lanosterol 14-alpha demethylase	A0A0A1P6P0	SINGLE PROTEIN	Mucorales	0	0
CHEMBL3774294	116748	Lanosterol 14-alpha demethylase	Q8K0C4	SINGLE PROTEIN	Mus musculus	6	12
CHEMBL2922	12567	Cytochrome P450 1A1	P00185	SINGLE PROTEIN	Rattus norvegicus	43	94
CHEMBL3019	12739	Cytochrome P450 3A5	P20815	SINGLE PROTEIN	Homo sapiens	214	391
CHEMBL3859	10766	Cytochrome P450 19A1	P22443	SINGLE PROTEIN	Rattus norvegicus	211	289
CHEMBL4743	100123	Cytochrome P450 4A4	P10611	SINGLE PROTEIN	Oryctolagus cuniculus	4	5
CHEMBL4813	10673	Cytochrome P450 11A1	P00189	SINGLE PROTEIN	Bos taurus	115	159
