CHEMBL_ID	TID	PREF_NAME	PROTEIN_ACCESSION	TARGET_TYPE	ORGANISM	COMPOUNDS	ENDPOINTS
CHEMBL242	174	Estrogen receptor beta	Q92731	SINGLE PROTEIN	Homo sapiens	4362	7749
CHEMBL2808	11269	LXR-alpha	Q13133	SINGLE PROTEIN	Homo sapiens	998	2401
CHEMBL3021	12135	Estrogen receptor beta	Q62986	SINGLE PROTEIN	Rattus norvegicus	63	73
CHEMBL3072	12832	Androgen Receptor	P15207	SINGLE PROTEIN	Rattus norvegicus	1945	3491
CHEMBL3456	17049	Progesterone receptor	P06186	SINGLE PROTEIN	Oryctolagus cuniculus	198	449
CHEMBL4797	12753	Peroxisome proliferator-activated receptor gamma	O88275	SINGLE PROTEIN	Rattus norvegicus	32	35
CHEMBL1764943	104120	Steroidogenic factor 1	P33242	SINGLE PROTEIN	Mus musculus	4	16
CHEMBL3430879	109636	Retinoic acid receptor RXR-alpha/oxysterols receptor LXR-alpha	P19793, Q13133	PROTEIN COMPLEX	Homo sapiens	53	59
CHEMBL3308901	109088	Nuclear receptor subfamily 4 group A member 1	P12813	SINGLE PROTEIN	Mus musculus	1	18
CHEMBL2366589	106733	Ecdysone receptor	E5L6Y0, E5L6Y1	PROTEIN COMPLEX	Nezara viridula	7	29
CHEMBL3885529	117073	Bile acid receptor/Retinoic acid receptor RXR-alpha	P28700, Q60641	PROTEIN COMPLEX	Mus musculus	9	16
CHEMBL3885612	117156	Nuclear receptor subfamily 2 group C member 2/TGF-beta-activated kinase 1 and MAP3K7-binding protein 1	P49116, Q15750	CHIMERIC PROTEIN	Homo sapiens	1	1
CHEMBL3885632	117176	Retinoic acid receptor RXR-alpha/Vitamin D3 receptor	P11473, P19793	PROTEIN COMPLEX	Homo sapiens	11	11
CHEMBL1947	271	Thyroid hormone receptor beta-1	P10828	SINGLE PROTEIN	Homo sapiens	6199	7754
CHEMBL2008	270	Retinoic acid receptor beta	P10826	SINGLE PROTEIN	Homo sapiens	567	1099
CHEMBL206	19	Estrogen receptor alpha	P03372	SINGLE PROTEIN	Homo sapiens	6088	11148
CHEMBL2995	12244	Estrogen receptor beta	O08537	SINGLE PROTEIN	Mus musculus	34	37
CHEMBL4113	17023	Ecdysone receptor	O77240	SINGLE PROTEIN	Choristoneura fumiferana	18	36
CHEMBL1075150	103089	Peroxisome proliferator activated receptor alpha	Q7TNH1	SINGLE PROTEIN	Mesocricetus auratus	1	1
CHEMBL208	36	Progesterone receptor	P06401	SINGLE PROTEIN	Homo sapiens	2544	5239
CHEMBL1961790	104475	COUP transcription factor 2	P24468	SINGLE PROTEIN	Homo sapiens	233	234
CHEMBL2093866	104682	Estrogen receptor	P03372, Q92731	PROTEIN FAMILY	Homo sapiens	1749	2994
CHEMBL2095162	104747	Peroxisome proliferator-activated receptor gamma/Nuclear receptor coactivator 1	P37231, Q15788	PROTEIN-PROTEIN INTERACTION	Homo sapiens	749	749
CHEMBL2111325	105019	PPAR alpha/gamma	P37231, Q07869	SELECTIVITY GROUP	Homo sapiens	91	104
CHEMBL1909044	104322	Progesterone receptor	Q690N0	SINGLE PROTEIN	Bos taurus	869	1742
CHEMBL2111462	104987	Thyroid hormone receptor	P10827, P10828	PROTEIN COMPLEX	Homo sapiens	125	143
CHEMBL2055	57	Retinoic acid receptor alpha	P10276	SINGLE PROTEIN	Homo sapiens	577	1158
CHEMBL5603	101029	Nuclear receptor subfamily 0 group B member 2	Q15466	SINGLE PROTEIN	Homo sapiens	18	24
CHEMBL2417346	107639	Oxysterols receptor LXR-beta	Q60644	SINGLE PROTEIN	Mus musculus	56	106
