CHEMBL_ID	TID	PREF_NAME	PROTEIN_ACCESSION	TARGET_TYPE	ORGANISM	COMPOUNDS	ENDPOINTS
CHEMBL2326	11060	Carbonic anhydrase VII	P43166	SINGLE PROTEIN	Homo sapiens	780	1125
CHEMBL261	10193	Carbonic anhydrase I	P00915	SINGLE PROTEIN	Homo sapiens	5411	9031
CHEMBL2363	10358	Dihydrofolate reductase	Q920D2	SINGLE PROTEIN	Rattus norvegicus	1404	2341
CHEMBL2378	11922	Dual specificity phosphatase Cdc25C	P30307	SINGLE PROTEIN	Homo sapiens	198	241
CHEMBL2555	10792	Thymidylate synthase	P0A884	SINGLE PROTEIN	Escherichia coli K-12	71	136
CHEMBL2575	10095	Dihydrofolate reductase	P00378	SINGLE PROTEIN	Gallus gallus	230	392
CHEMBL205	15	Carbonic anhydrase II	P00918	SINGLE PROTEIN	Homo sapiens	7078	12852
CHEMBL1826	37	DNA gyrase subunit B	P0AES6	SINGLE PROTEIN	Escherichia coli K-12	50	118
CHEMBL1910	14	Adenosine deaminase	P00813	SINGLE PROTEIN	Homo sapiens	85	120
CHEMBL1914	10532	Butyrylcholinesterase	P06276	SINGLE PROTEIN	Homo sapiens	2892	3973
CHEMBL1939	70	Dihydrofolate reductase	P13922	SINGLE PROTEIN	Plasmodium falciparum K1	157	1753
CHEMBL1949	180	Cyclophilin A	P62937	SINGLE PROTEIN	Homo sapiens	328	583
CHEMBL1966	157	Dihydroorotate dehydrogenase	Q02127	SINGLE PROTEIN	Homo sapiens	1259	1694
CHEMBL1969	39	Tyrosine 3-hydroxylase	P07101	SINGLE PROTEIN	Homo sapiens	8	8
CHEMBL1973	73	Tyrosinase	P14679	SINGLE PROTEIN	Homo sapiens	232	352
CHEMBL1984	109	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	P0A749	SINGLE PROTEIN	Escherichia coli K-12	70	94
CHEMBL1988	244	Atrial natriuretic peptide receptor A	P16066	SINGLE PROTEIN	Homo sapiens	76	78
CHEMBL220	93	Acetylcholinesterase	P22303	SINGLE PROTEIN	Homo sapiens	6227	11265
CHEMBL2030	327	D-alanylalanine synthetase	P9WP31	SINGLE PROTEIN	Mycobacterium tuberculosis	1	4
CHEMBL2074	1	Maltase-glucoamylase	O43451	SINGLE PROTEIN	Homo sapiens	291	343
CHEMBL3169	12869	Inosine-5'-monophosphate dehydrogenase 2	P24547	SINGLE PROTEIN	Mus musculus	19	19
CHEMBL3199	10667	Acetylcholinesterase	P37136	SINGLE PROTEIN	Rattus norvegicus	1459	2173
CHEMBL2635	11160	Dual specificity protein phosphatase 3	P51452	SINGLE PROTEIN	Homo sapiens	843	1077
CHEMBL2755	12642	Glutathione reductase	P00390	SINGLE PROTEIN	Homo sapiens	241	318
CHEMBL2966	12159	Adenosine deaminase	P56658	SINGLE PROTEIN	Bos taurus	496	693
CHEMBL2976	11618	Protein-tyrosine phosphatase 1E	Q12923	SINGLE PROTEIN	Homo sapiens	57	66
CHEMBL312	12166	Arachidonate 5-lipoxygenase	P12527	SINGLE PROTEIN	Rattus norvegicus	2034	2784
CHEMBL3789	100314	Glutamine synthetase	P0A9C5	SINGLE PROTEIN	Escherichia coli K-12	7	21
CHEMBL290	11395	Phosphodiesterase 3B	Q13370	SINGLE PROTEIN	Homo sapiens	188	232
CHEMBL3421	10177	Phosphodiesterase 1A	P54750	SINGLE PROTEIN	Homo sapiens	82	111
CHEMBL3478	10602	Phosphodiesterase 5A	Q28156	SINGLE PROTEIN	Bos taurus	240	264
CHEMBL3499	17117	Beta-lactamase class C	Q59401	SINGLE PROTEIN	Enterobacter cloacae	43	68
CHEMBL3510	11063	Carbonic anhydrase XIV	Q9ULX7	SINGLE PROTEIN	Homo sapiens	683	857
CHEMBL3652	17125	Beta-lactamase TEM	Q6W9J1	SINGLE PROTEIN	Enterobacter cloacae	51	67
CHEMBL3670	11423	3-beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type II	P26439	SINGLE PROTEIN	Homo sapiens	3	3
CHEMBL3693	100596	Farnesyl pyrophosphate synthase	Q0GKD7	SINGLE PROTEIN	Leishmania donovani	66	85
CHEMBL288	11359	Phosphodiesterase 4D	Q08499	SINGLE PROTEIN	Homo sapiens	940	1299
CHEMBL3774	13049	Phosphodiesterase 1A	P14100	SINGLE PROTEIN	Bos taurus	21	21
CHEMBL3963	10456	Dihydrofolate reductase	Q27713	SINGLE PROTEIN	Plasmodium berghei str. ANKA	36	43
CHEMBL3972	12291	GAR transformylase	P22102	SINGLE PROTEIN	Homo sapiens	148	432
CHEMBL4032	12119	Dihydropteroate synthase	P0AC13	SINGLE PROTEIN	Escherichia coli K-12	101	129
CHEMBL4194	100224	Alpha-galactosidase	Q5DUH8	SINGLE PROTEIN	Coffea arabica	39	39
CHEMBL4650	10595	Phosphodiesterase 2A	Q01062	SINGLE PROTEIN	Rattus norvegicus	44	49
CHEMBL4665	100829	Thymidylate synthase	P0CS13	SINGLE PROTEIN	Cryptococcus neoformans var. neoformans B-3501A	18	18
CHEMBL4706	10221	Carbonic anhydrase II	P27139	SINGLE PROTEIN	Rattus norvegicus	1	1
CHEMBL4445	12579	Serine/threonine protein phosphatase 2B catalytic subunit, alpha isoform	Q08209	SINGLE PROTEIN	Homo sapiens	907	1793
CHEMBL4542	100602	Probable low molecular weight protein-tyrosine-phosphatase	P9WIA1	SINGLE PROTEIN	Mycobacterium tuberculosis	207	285
CHEMBL4763	10020	Serine/threonine protein phosphatase 2A, 56 kDa regulatory subunit, alpha isoform	Q15172	SINGLE PROTEIN	Homo sapiens	8	8
CHEMBL4782	10440	Beta-lactamase	P80298	SINGLE PROTEIN	Proteus vulgaris	42	42
CHEMBL4789	11042	Carbonic anhydrase VA	P35218	SINGLE PROTEIN	Homo sapiens	423	588
CHEMBL4790	10952	Vacuolar ATP synthase subunit S1	Q15904	SINGLE PROTEIN	Homo sapiens	33	39
CHEMBL4888	13019	Dihydrofolate reductase	Q8Z9J9	SINGLE PROTEIN	Salmonella enterica subsp. enterica serovar Typhi	58	59
CHEMBL4903	100627	Low molecular weight phosphotyrosine protein phosphatase	P24666	SINGLE PROTEIN	Homo sapiens	510	990
CHEMBL5031	18040	Beta-lactamase	P24735	SINGLE PROTEIN	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)	119	396
CHEMBL5041	101042	Beta-lactamase TEM-125	Q6GWS8	SINGLE PROTEIN	Escherichia coli	3	3
CHEMBL5265	101135	DNA topoisomerase 1	Q7YR26	SINGLE PROTEIN	Chlorocebus aethiops	4	4
CHEMBL5303	101149	PER-2 beta-lactamase	A2RP81	SINGLE PROTEIN	Citrobacter freundii	15	51
CHEMBL5438	101194	IMP-19	A8QUY6	SINGLE PROTEIN	Aeromonas caviae	13	39
CHEMBL5763	101542	Cholinesterase	P81908	SINGLE PROTEIN	Equus caballus	3629	4521
CHEMBL1075065	102586	Pyruvate-flavodoxin oxidoreductase	Q0SRB6	SINGLE PROTEIN	Clostridium perfringens (strain SM101 / Type A)	2	2
CHEMBL1163121	103450	3-hydroxy-3-methylglutaryl-coenzyme A reductase	Q10283	SINGLE PROTEIN	Schizosaccharomyces pombe 972h-	24	24
CHEMBL5591	100055	Serine/threonine protein phosphatase 2A, catalytic subunit, alpha isoform	P67777	SINGLE PROTEIN	Oryctolagus cuniculus	1	1
CHEMBL1255134	103545	Ghrelin O-acyltransferase	P0C7A3	SINGLE PROTEIN	Mus musculus	1	1
CHEMBL1795082	104164	DNA topoisomerase	Q7CIL8	SINGLE PROTEIN	Yersinia pestis	68	69
CHEMBL1287606	103608	Beta-lactamase SHV-11	Q7X575	SINGLE PROTEIN	Escherichia coli	12	34
CHEMBL2096668	104823	Alcohol dehydrogenase	P00325, P00326, P07327, P08319, P11766, P28332, P40394	PROTEIN FAMILY	Homo sapiens	24	35
CHEMBL1795144	104224	Thymidylate synthase	Q834R3	SINGLE PROTEIN	Enterococcus faecalis (strain ATCC 700802 / V583)	29	29
CHEMBL2094255	104727	DNA topoisomerase II	P11388, Q02880	PROTEIN FAMILY	Homo sapiens	776	1131
CHEMBL2111337	105036	Atrial natriuretic peptide receptor	P16066, P17342, P20594	PROTEIN FAMILY	Homo sapiens	38	49
CHEMBL2111369	105058	Inosine-5'-monophosphate dehydrogenase (IMPDH)	P12268, P20839	PROTEIN FAMILY	Homo sapiens	52	61
CHEMBL2111373	105062	Phosphodiesterase 4	O89084, Q01063, Q3UEI1, Q8VBU5	PROTEIN FAMILY	Mus musculus	29	31
CHEMBL2111411	104918	Phosphodiesterase 7	Q13946, Q9NP56	PROTEIN FAMILY	Homo sapiens	61	64
CHEMBL2095233	104805	Cholinesterases; ACHE & BCHE	P06276, P22303	SELECTIVITY GROUP	Homo sapiens	292	337
CHEMBL1795187	104267	Acetylpolyamine aminohydrolase	Q48935	SINGLE PROTEIN	Mycoplana ramosa	11	11
CHEMBL2111470	104997	Phosphodiesterase 2 and 5 (PDE2 and PDE5)	O00408, O76074	SELECTIVITY GROUP	Homo sapiens	28	32
CHEMBL1861	123	4-hydroxyphenylpyruvate dioxygenase	P32754	SINGLE PROTEIN	Homo sapiens	79	82
CHEMBL2923	12573	Phosphodiesterase 8A	Q76KC6	SINGLE PROTEIN	Rattus norvegicus	1	1
CHEMBL3621036	109900	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial	P13995	SINGLE PROTEIN	Homo sapiens	1	1
CHEMBL1075246	102951	Xanthine dehydrogenase/oxidase	P22985	SINGLE PROTEIN	Rattus norvegicus	47	52
CHEMBL3706559	109974	Mitochondrial amidoxime-reducing component 1	Q5VT66	SINGLE PROTEIN	Homo sapiens	9	13
CHEMBL3038482	107908	DNA gyrase	P0A0K8, P20831	PROTEIN COMPLEX	Staphylococcus aureus	421	465
CHEMBL3243905	108292	Thymidylate synthase	Q2TA32	SINGLE PROTEIN	Bos taurus	4	4
CHEMBL3243912	108299	Ornithine decarboxylase	P27117	SINGLE PROTEIN	Bos taurus	6	7
CHEMBL3227916	108265	Thymidine kinase, cytosolic	P09768	SINGLE PROTEIN	Cricetulus griseus	53	80
CHEMBL3286086	108388	Delta-aminolevulinic acid dehydratase	Q59643	SINGLE PROTEIN	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)	15	58
CHEMBL4640	100008	Phosphodiesterase 8A	O60658	SINGLE PROTEIN	Homo sapiens	136	160
CHEMBL1667685	103877	Neuraminidase	Q2LFS1	SINGLE PROTEIN	Influenza A virus	2	6
CHEMBL3390828	109553	DNA gyrase	P48372, Q9I7C2	PROTEIN COMPLEX	Pseudomonas aeruginosa	38	38
CHEMBL3308957	109244	Oleandomycin glycosyltransferase	Q53685	SINGLE PROTEIN	Streptomyces antibioticus	8	79
CHEMBL3308959	109246	Delta-aminolevulinic acid dehydratase	P54919	SINGLE PROTEIN	Streptomyces coelicolor	1	2
CHEMBL3308965	109252	Eukaryotic initiation factor 4A	P41378	SINGLE PROTEIN	Triticum aestivum	1	1
CHEMBL3308970	109258	Delta-aminolevulinic acid dehydratase	P30950	SINGLE PROTEIN	Bacillus subtilis	1	2
CHEMBL3309009	109147	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	P0ABF8	SINGLE PROTEIN	Escherichia coli (strain K12)	1	1
CHEMBL3309027	109165	Putative reactive intermediate deaminase TdcF	P0AGL2	SINGLE PROTEIN	Escherichia coli (strain K12)	1	1
CHEMBL2366422	106566	Acetylcholinesterase	C5IU80	SINGLE PROTEIN	Spodoptera litura	1	1
CHEMBL2366446	106590	Acetylcholinesterase	K4JQ36	SINGLE PROTEIN	Laodelphax striatella	4	20
CHEMBL2362992	105704	Amidophosphoribosyltransferase	Q06203	SINGLE PROTEIN	Homo sapiens	0	0
CHEMBL3309048	109189	Glyceraldehyde-3-phosphate dehydrogenase	P16858	SINGLE PROTEIN	Mus musculus	3	10
CHEMBL3309057	109199	Ribosomal protein S6 kinase alpha-1	P18653	SINGLE PROTEIN	Mus musculus	1	1
CHEMBL2366489	106633	Bifunctional dihydrofolate reductase-thymidylate synthase	Q27552	SINGLE PROTEIN	Cryptosporidium parvum	33	63
CHEMBL2366523	106667	Acetolactate synthase	A7XBP7	SINGLE PROTEIN	Lolium rigidum	1	27
CHEMBL3542434	109700	Aldehyde dehydrogenase	O94788, P00352, P05091, P30038, P30837, P30838, P43353, P47895, P48448, P49189, P51649	PROTEIN FAMILY	Homo sapiens	0	0
CHEMBL2150832	105183	Farnesyl pyrophosphate synthase	Q4QBL1	SINGLE PROTEIN	Leishmania major	1	1
CHEMBL2311225	105578	DNA gyrase	P0A4L9, P72524	PROTEIN COMPLEX	Streptococcus pneumoniae	0	0
CHEMBL2331065	105661	Alpha-ketoglutarate-dependent dioxygenase FTO	Q9C0B1	SINGLE PROTEIN	Homo sapiens	53	70
CHEMBL2331071	105667	Serine/threonine-protein phosphatase PGAM5, mitochondrial	Q8BX10	SINGLE PROTEIN	Mus musculus	3	3
CHEMBL2396506	107612	Dual specificity protein phosphatase 23	Q9BVJ7	SINGLE PROTEIN	Homo sapiens	4	4
CHEMBL3580505	109801	Toxin B	P18177	SINGLE PROTEIN	Peptoclostridium difficile	0	0
CHEMBL3600278	109854	E3 ubiquitin-protein ligase Mdm2	P56950	SINGLE PROTEIN	Canis lupus familiaris	2	2
CHEMBL3562180	109776	Carbapenem-hydrolyzing beta-lactamase KPC	Q848S6	SINGLE PROTEIN	Klebsiella oxytoca	1	8
CHEMBL2321642	105631	Neuraminidase	Q5IB64	SINGLE PROTEIN	Vibrio cholerae	12	12
CHEMBL2363852	105831	DNA-directed RNA polymerase	Q182S6, Q18CF1, Q18CF3, Q18CI5	PROTEIN COMPLEX	Clostridium difficile	0	0
CHEMBL3593152	109833	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3	P15396	SINGLE PROTEIN	Bos taurus	1	1
CHEMBL3638349	109954	Glutaminyl-peptide cyclotransferase-like protein	Q9NXS2	SINGLE PROTEIN	Homo sapiens	45	110
