CHEMBL_ID	TID	PREF_NAME	PROTEIN_ACCESSION	TARGET_TYPE	ORGANISM	COMPOUNDS	ENDPOINTS
CHEMBL2426	10262	Casein kinase I gamma 1	Q9HCP0	SINGLE PROTEIN	Homo sapiens	1346	2039
CHEMBL2494	10971	CaM kinase IV	Q16566	SINGLE PROTEIN	Homo sapiens	933	1604
CHEMBL2543	11629	Casein kinase I gamma 2	P78368	SINGLE PROTEIN	Homo sapiens	1406	2110
CHEMBL1824	188	Receptor protein-tyrosine kinase erbB-2	P04626	SINGLE PROTEIN	Homo sapiens	4852	6706
CHEMBL1974	12670	Tyrosine-protein kinase receptor FLT3	P36888	SINGLE PROTEIN	Homo sapiens	4650	8101
CHEMBL2007	12627	Platelet-derived growth factor receptor alpha	P16234	SINGLE PROTEIN	Homo sapiens	1661	4621
CHEMBL279	10980	Vascular endothelial growth factor receptor 2	P35968	SINGLE PROTEIN	Homo sapiens	11693	17660
CHEMBL2208	11082	MAP kinase-activated protein kinase 2	P49137	SINGLE PROTEIN	Homo sapiens	3122	4203
CHEMBL2211	100818	Serine/threonine-protein kinase Aurora-A	P97477	SINGLE PROTEIN	Mus musculus	5	10
CHEMBL2213	12263	Protein kinase C alpha	P04409	SINGLE PROTEIN	Bos taurus	47	47
CHEMBL2599	10906	Tyrosine-protein kinase SYK	P43405	SINGLE PROTEIN	Homo sapiens	4865	7930
CHEMBL299	11635	Protein kinase C alpha	P17252	SINGLE PROTEIN	Homo sapiens	3360	5248
CHEMBL2815	11902	Nerve growth factor receptor Trk-A	P04629	SINGLE PROTEIN	Homo sapiens	4399	6156
CHEMBL2835	10919	Tyrosine-protein kinase JAK1	P23458	SINGLE PROTEIN	Homo sapiens	4951	7206
CHEMBL2855	12454	Protein kinase C alpha	P05696	SINGLE PROTEIN	Rattus norvegicus	21	29
CHEMBL2896	11018	cGMP-dependent protein kinase 2	Q13237	SINGLE PROTEIN	Homo sapiens	1001	1428
CHEMBL3020	12133	Protein kinase C beta	P68403	SINGLE PROTEIN	Rattus norvegicus	2	4
CHEMBL3062	10856	Myosin light chain kinase, smooth muscle	P11799	SINGLE PROTEIN	Gallus gallus	157	167
CHEMBL3830	30000	Adaptor-associated kinase	Q2M2I8	SINGLE PROTEIN	Homo sapiens	143	204
CHEMBL3831	30001	MAP/microtubule affinity-regulating kinase 2	Q7KZI7	SINGLE PROTEIN	Homo sapiens	1418	2045
CHEMBL3530	12919	Dual specificity mitogen-activated protein kinase kinase 7	O14733	SINGLE PROTEIN	Homo sapiens	436	616
CHEMBL3655	17033	Tyrosine-protein kinase SRC	P00523	SINGLE PROTEIN	Gallus gallus	360	421
CHEMBL4121	10396	CaM kinase II beta	Q13554	SINGLE PROTEIN	Homo sapiens	1029	1351
CHEMBL4202	30035	Serine/threonine-protein kinase 2	Q9H2G2	SINGLE PROTEIN	Homo sapiens	911	997
CHEMBL4224	30013	Dual specificty protein kinase CLK1	P49759	SINGLE PROTEIN	Homo sapiens	897	1011
CHEMBL4247	100417	ALK tyrosine kinase receptor	Q9UM73	SINGLE PROTEIN	Homo sapiens	3149	4774
CHEMBL4376	100790	Dual-specificity tyrosine-phosphorylation regulated kinase 2	Q92630	SINGLE PROTEIN	Homo sapiens	887	1491
CHEMBL4442	12828	Cyclin-dependent kinase 3	Q00526	SINGLE PROTEIN	Homo sapiens	118	160
CHEMBL4454	100127	Tyrosine-protein kinase FGR	P09769	SINGLE PROTEIN	Homo sapiens	762	1402
CHEMBL4515	100844	Serine/threonine-protein kinase BUD32	P53323	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	5	5
CHEMBL4525	30045	Serine/threonine-protein kinase 17A	Q9UEE5	SINGLE PROTEIN	Homo sapiens	1059	1391
CHEMBL4527	30047	TRAF2- and NCK-interacting kinase	Q9UKE5	SINGLE PROTEIN	Homo sapiens	417	646
CHEMBL4598	30024	Serine/threonine-protein kinase MST1	Q13043	SINGLE PROTEIN	Homo sapiens	822	1510
CHEMBL4897	100412	Serine/threonine-protein kinase PLK3	Q9H4B4	SINGLE PROTEIN	Homo sapiens	1284	1546
CHEMBL4901	100416	Ephrin type-B receptor 3	P54753	SINGLE PROTEIN	Homo sapiens	772	1385
CHEMBL4948	10371	Dual specificity mitogen-activated protein kinase kinase 5	Q13163	SINGLE PROTEIN	Homo sapiens	121	148
CHEMBL4954	30009	Ephrin type-A receptor 3	P29320	SINGLE PROTEIN	Homo sapiens	722	1346
CHEMBL5072	30020	Ephrin type-B receptor 1	P54762	SINGLE PROTEIN	Homo sapiens	345	597
CHEMBL5285	30034	Mitogen-activated protein kinase kinase kinase 5	Q99683	SINGLE PROTEIN	Homo sapiens	639	1072
CHEMBL5311	100909	Serine/threonine-protein kinase receptor R3	P37023	SINGLE PROTEIN	Homo sapiens	206	329
CHEMBL5319	100917	Epithelial discoidin domain-containing receptor 1	Q08345	SINGLE PROTEIN	Homo sapiens	222	305
CHEMBL5358	100925	Eukaryotic translation initiation factor 2-alpha kinase 4	Q9P2K8	SINGLE PROTEIN	Homo sapiens	144	181
CHEMBL5388	100969	Serine/threonine-protein kinase tousled-like 1	Q9UKI8	SINGLE PROTEIN	Homo sapiens	143	186
CHEMBL5395	101170	Meiotic mRNA stability protein kinase SSN3	P39073	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	2	2
CHEMBL5404	101179	Serine/threonine-protein kinase tousled-like 2	Q86UE8	SINGLE PROTEIN	Homo sapiens	297	503
CHEMBL5408	100856	Serine/threonine-protein kinase TBK1	Q9UHD2	SINGLE PROTEIN	Homo sapiens	1576	3071
CHEMBL5543	101014	Dual specificity tyrosine-phosphorylation-regulated kinase 1B	Q9Y463	SINGLE PROTEIN	Homo sapiens	1221	1681
CHEMBL5552	101231	Serine/threonine-protein kinase 25	O00506	SINGLE PROTEIN	Homo sapiens	299	355
CHEMBL5432	101188	Mitogen-activated protein kinase kinase kinase kinase 3	Q8IVH8	SINGLE PROTEIN	Homo sapiens	120	159
CHEMBL5464	100990	Receptor-interacting serine/threonine-protein kinase 1	Q13546	SINGLE PROTEIN	Homo sapiens	162	375
CHEMBL5469	100995	Protein tyrosine kinase 2 beta	Q14289	SINGLE PROTEIN	Homo sapiens	1689	2337
CHEMBL5476	101204	Bone morphogenetic protein receptor type-1B	O00238	SINGLE PROTEIN	Homo sapiens	115	124
CHEMBL5579	101239	Citron Rho-interacting kinase	O14578	SINGLE PROTEIN	Homo sapiens	104	143
CHEMBL5607	101033	Rhodopsin kinase	Q15835	SINGLE PROTEIN	Homo sapiens	121	128
CHEMBL5616	101473	Activin receptor type-2A	P27037	SINGLE PROTEIN	Homo sapiens	101	139
CHEMBL5650	101269	BR serine/threonine-protein kinase 1	Q8TDC3	SINGLE PROTEIN	Homo sapiens	1310	1912
CHEMBL5659	101278	Serine/threonine-protein kinase RIO3	O14730	SINGLE PROTEIN	Homo sapiens	102	140
CHEMBL5668	101496	Serine/threonine-protein kinase SRPK2	P78362	SINGLE PROTEIN	Homo sapiens	296	508
CHEMBL5701	101506	Serine/threonine-protein kinase TAO3	Q9H2K8	SINGLE PROTEIN	Homo sapiens	381	553
CHEMBL5749	101312	Mitogen-activated protein kinase kinase kinase kinase 1	Q92918	SINGLE PROTEIN	Homo sapiens	132	172
CHEMBL5759	101538	Mitogen-activated protein kinase 4	P31152	SINGLE PROTEIN	Homo sapiens	97	136
CHEMBL5912	101607	Serine/threonine-protein kinase 32B	Q9NY57	SINGLE PROTEIN	Homo sapiens	130	171
CHEMBL6029	102667	Eukaryotic translation initiation factor 2-alpha kinase 1	Q9BQI3	SINGLE PROTEIN	Homo sapiens	181	268
CHEMBL1075275	102822	Serine/threonine-protein kinase 12	O70126	SINGLE PROTEIN	Mus musculus	1	3
CHEMBL6083	101434	Receptor-interacting serine/threonine-protein kinase 4	P57078	SINGLE PROTEIN	Homo sapiens	89	95
CHEMBL4128	12913	Tyrosine-protein kinase TIE-2	Q02763	SINGLE PROTEIN	Homo sapiens	1913	2867
CHEMBL2553	10929	Ribosomal protein S6 kinase alpha 1	Q15418	SINGLE PROTEIN	Homo sapiens	1171	1999
CHEMBL2793	11720	Casein kinase I alpha	P48729	SINGLE PROTEIN	Homo sapiens	1616	2055
CHEMBL1163129	103458	Serine/threonine-protein kinase SBK1	Q52WX2	SINGLE PROTEIN	Homo sapiens	82	82
CHEMBL2116	10659	AMP-activated protein kinase, alpha-2 subunit	P54646	SINGLE PROTEIN	Homo sapiens	678	1110
CHEMBL1795174	104254	Mitogen-activated protein kinase 8	Q91Y86	SINGLE PROTEIN	Mus musculus	8	11
CHEMBL2094266	104731	Protein kinase C (PKC)	P05696, P09215, P09216, P09217, P63319, P68403, Q64617, Q9WTQ0	PROTEIN FAMILY	Rattus norvegicus	241	298
CHEMBL2111328	105023	Inhibitor of NF-kappa-B kinase (IKK)	O14920, O15111, Q9Y6K9	PROTEIN COMPLEX	Homo sapiens	33	76
CHEMBL2111355	105108	Pho80/Pho85	P17157, P20052	PROTEIN COMPLEX	Saccharomyces cerevisiae S288c	2	7
CHEMBL2111377	105067	CDC7/DBF4 (Cell division cycle 7-related protein kinase/Activator of S phase kinase)	O00311, Q9UBU7	PROTEIN COMPLEX	Homo sapiens	150	222
CHEMBL2111391	105086	Fibroblast growth factor receptor	P16092, P21803, Q03142, Q61851	PROTEIN FAMILY	Mus musculus	37	37
CHEMBL2111410	104916	Pho80/Pho85/Pho81 complex	P17157, P17442, P20052	PROTEIN COMPLEX	Saccharomyces cerevisiae S288c	1	23
CHEMBL2034801	104541	Tyrosine-protein kinase ZAP-70	P43404	SINGLE PROTEIN	Mus musculus	5	5
CHEMBL1907601	104295	Cyclin-dependent kinase 4/cyclin D1	P11802, P24385	PROTEIN COMPLEX	Homo sapiens	1543	1730
CHEMBL2111448	104965	CDK6/cyclin D3	P30281, Q00534	PROTEIN COMPLEX	Homo sapiens	228	392
CHEMBL2527	10531	Serine/threonine-protein kinase Chk2	O96017	SINGLE PROTEIN	Homo sapiens	2493	3293
CHEMBL2171	10235	Dual specificity mitogen-activated protein kinase kinase 6	P52564	SINGLE PROTEIN	Homo sapiens	450	747
CHEMBL3038451	107877	AMPK alpha1/beta1/gamma2	Q13131, Q9UGJ0, Q9Y478	PROTEIN COMPLEX	Homo sapiens	2	2
CHEMBL3038454	107880	AMPK alpha1/alpha2	P54646, Q13131	PROTEIN COMPLEX	Homo sapiens	12	12
CHEMBL3038516	107942	TPR/MET fusion protein	F6ZDS4, P16056	CHIMERIC PROTEIN	Mus musculus	23	51
CHEMBL5052	101053	Serine/threonine-protein kinase MRCK beta	Q9Y5S2	SINGLE PROTEIN	Homo sapiens	658	1239
CHEMBL2176844	105419	STE20-like serine/threonine-protein kinase	O54988	SINGLE PROTEIN	Mus musculus	1	1
CHEMBL2363049	105744	Epidermal growth factor receptor	P00533, P04626, P21860, Q15303	PROTEIN FAMILY	Homo sapiens	1004	2030
CHEMBL4310	30039	Serine/threonine-protein kinase MST2	Q9JI10	SINGLE PROTEIN	Mus musculus	20	20
CHEMBL3430911	109668	Serine/threonine-protein kinase Aurora	O14965, Q96GD4, Q9UQB9	PROTEIN FAMILY	Homo sapiens	1	2
CHEMBL3627582	109904	Testis-specific serine/threonine-protein kinase 6	Q9BXA6	SINGLE PROTEIN	Homo sapiens	4	4
CHEMBL5490	100070	Rho-associated protein kinase 2	Q62868	SINGLE PROTEIN	Rattus norvegicus	72	83
CHEMBL5147	100129	Ephrin type-B receptor 4	P54760	SINGLE PROTEIN	Homo sapiens	1789	2604
CHEMBL4364	100421	Tyrosine-protein kinase SYK	Q64725	SINGLE PROTEIN	Rattus norvegicus	29	70
CHEMBL3038517	107945	CDK2/CDK4	P11802, P24941	PROTEIN FAMILY	Homo sapiens	6	6
CHEMBL3721303	116671	Dual specificity mitogen-activated protein kinase kinase 3	O09110	SINGLE PROTEIN	Mus musculus	1	1
CHEMBL3988629	117283	Casein kinase 2	P19139, P67874	PROTEIN COMPLEX	Rattus norvegicus	6	6
CHEMBL3885548	117092	Cyclin-A1/Cyclin-dependent kinase 4	P11802, P78396	PROTEIN COMPLEX	Homo sapiens	4	4
CHEMBL3885602	117146	Mitogen-activated protein kinase 10/Receptor-interacting serine/threonine-protein kinase 1	P53779, Q13546	PROTEIN FAMILY	Homo sapiens	32	33
CHEMBL3883331	117044	Tropomyosin alpha-3 chain/High affinity nerve growth factor receptor	P04629, P06753	CHIMERIC PROTEIN	Homo sapiens	1	5
CHEMBL3879830	116955	G protein-coupled receptor kinase 5	P43249	SINGLE PROTEIN	Bos taurus	7	9
CHEMBL308	12071	Cyclin-dependent kinase 1	P06493	SINGLE PROTEIN	Homo sapiens	2787	3738
CHEMBL1906	10904	Serine/threonine-protein kinase RAF	P04049	SINGLE PROTEIN	Homo sapiens	2590	3554
