CHEMBL_ID	TID	PREF_NAME	PROTEIN_ACCESSION	TARGET_TYPE	ORGANISM	COMPOUNDS	ENDPOINTS
CHEMBL2264	11619	Puromycin-sensitive aminopeptidase	P55786	SINGLE PROTEIN	Homo sapiens	19	19
CHEMBL2334	10131	Caspase-3	P42574	SINGLE PROTEIN	Homo sapiens	2827	3485
CHEMBL2364	10399	Hepatitis C virus NS4A protein	D2K2A8	SINGLE PROTEIN	Hepatitis C virus	3	3
CHEMBL1808	69	Angiotensin-converting enzyme	P12821	SINGLE PROTEIN	Homo sapiens	898	1168
CHEMBL2016	193	Coagulation factor IX	P00740	SINGLE PROTEIN	Homo sapiens	741	794
CHEMBL2113	10497	Cathepsin L	P25975	SINGLE PROTEIN	Bos taurus	58	58
CHEMBL2136	10019	Pepsinogen C	P20142	SINGLE PROTEIN	Homo sapiens	49	51
CHEMBL3286	11942	Urokinase-type plasminogen activator	P00749	SINGLE PROTEIN	Homo sapiens	1524	1800
CHEMBL2611	11402	Furin	P09958	SINGLE PROTEIN	Homo sapiens	460	511
CHEMBL2625	12568	Angiotensin-converting enzyme	P47820	SINGLE PROTEIN	Rattus norvegicus	578	1065
CHEMBL3092	11722	Cathepsin E	P14091	SINGLE PROTEIN	Homo sapiens	118	140
CHEMBL3813	11107	Dipeptidyl peptidase IV	P22411	SINGLE PROTEIN	Sus scrofa	116	151
CHEMBL3898	10144	Bone morphogenetic protein 1	P13497	SINGLE PROTEIN	Homo sapiens	409	428
CHEMBL3929	20037	Coagulation factor X	O77669	SINGLE PROTEIN	Canis lupus familiaris	2	2
CHEMBL3423	10062	Methionine aminopeptidase	P0AE18	SINGLE PROTEIN	Escherichia coli K-12	250	444
CHEMBL3481	12938	Carboxypeptidase A1	P00730	SINGLE PROTEIN	Bos taurus	127	144
CHEMBL3712	12155	Cystinyl aminopeptidase	P97629	SINGLE PROTEIN	Rattus norvegicus	18	31
CHEMBL4268	100045	Penicillin-binding protein 1	Q53725	SINGLE PROTEIN	Staphylococcus aureus	19	19
CHEMBL4657	20151	Dipeptidyl peptidase VIII	Q6V1X1	SINGLE PROTEIN	Homo sapiens	1848	2034
CHEMBL4662	100624	Proteasome Macropain subunit MB1	P28074	SINGLE PROTEIN	Homo sapiens	484	896
CHEMBL4675	12998	Tripeptidyl aminopeptidase	Q64560	SINGLE PROTEIN	Rattus norvegicus	138	141
CHEMBL4683	100186	Fibroblast activation protein alpha	Q12884	SINGLE PROTEIN	Homo sapiens	546	602
CHEMBL4448	12585	Kallikrein 6	Q92876	SINGLE PROTEIN	Homo sapiens	35	35
CHEMBL5074	100052	Human immunodeficiency virus type 2 pol protein	P88142	SINGLE PROTEIN	Human immunodeficiency virus 2	30	31
CHEMBL5344	101156	Botulinum neurotoxin type A	A5HZZ9	SINGLE PROTEIN	Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A)	140	238
CHEMBL5539	101010	Penicillin-binding protein 2	Q9X6V3	SINGLE PROTEIN	Pseudomonas aeruginosa	6	6
CHEMBL5610	101036	Prostasin	Q16651	SINGLE PROTEIN	Homo sapiens	25	25
CHEMBL1075311	102865	Urokinase-type plasminogen activator	P06869	SINGLE PROTEIN	Mus musculus	8	9
CHEMBL5620	101477	Proteasome subunit beta type-8	P28062	SINGLE PROTEIN	Homo sapiens	62	122
CHEMBL5632	101489	Caspase-3	P70677	SINGLE PROTEIN	Mus musculus	2	2
CHEMBL5644	102413	Candidapepsin-3	P0CY28	SINGLE PROTEIN	Candida albicans	2	2
CHEMBL1075037	102995	Coagulase/fibrinolysin	P17811	SINGLE PROTEIN	Yersinia pestis	1	2
CHEMBL4904	100628	Proteasome component C5	P23724	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	37	37
CHEMBL1075217	102913	Cathepsin S	Q02765	SINGLE PROTEIN	Rattus norvegicus	10	10
CHEMBL5939	101611	Endoplasmic reticulum aminopeptidase 1	Q9NZ08	SINGLE PROTEIN	Homo sapiens	328	333
CHEMBL5982	11989	ADAM9	Q13443	SINGLE PROTEIN	Homo sapiens	67	77
CHEMBL1075299	102850	Plasminogen	P20918	SINGLE PROTEIN	Mus musculus	7	7
CHEMBL2826	11337	Subtilisin/kexin type 5	Q92824	SINGLE PROTEIN	Homo sapiens	11	11
CHEMBL1250371	103504	Cysteine proteinase falcipain-1	Q8I6V0	SINGLE PROTEIN	Plasmodium falciparum 3D7	3	3
CHEMBL1697672	103951	Falcipain 2	Q9NAW2	SINGLE PROTEIN	Plasmodium falciparum	49	50
CHEMBL2096989	104869	Angiotensin-converting enzyme	P12821, Q9BYF1	PROTEIN FAMILY	Homo sapiens	123	148
CHEMBL1944492	104442	Proteasome subunit beta type-8	P28063	SINGLE PROTEIN	Mus musculus	7	7
CHEMBL2079849	104670	Serine protease hepsin	P05981	SINGLE PROTEIN	Homo sapiens	104	107
CHEMBL2111321	105013	Matrix metalloproteinase (2 and 3)	P08253, P08254	SELECTIVITY GROUP	Homo sapiens	53	56
CHEMBL2111412	104919	Coagulation factor VII and X	P00742, P08709	SELECTIVITY GROUP	Homo sapiens	116	116
CHEMBL3430905	109662	Caspase-3/Caspase-7	P42574, P55210	PROTEIN FAMILY	Homo sapiens	8	8
CHEMBL4352	100042	Dipeptidyl peptidase II	Q9EPB1	SINGLE PROTEIN	Rattus norvegicus	17	17
CHEMBL6019	102426	Candidapepsin-5	P43094	SINGLE PROTEIN	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	3	3
CHEMBL3038466	107892	Calpain1/2	P07384, P17655	PROTEIN FAMILY	Homo sapiens	1	1
CHEMBL3432	20005	Angiotensin-converting enzyme	Q4ACT8	SINGLE PROTEIN	Sus scrofa	1	1
CHEMBL3259492	108333	Tissue-type plasminogen activator	P11214	SINGLE PROTEIN	Mus musculus	8	8
CHEMBL3259501	108342	Dipeptidyl peptidase 2	Q9ET22	SINGLE PROTEIN	Mus musculus	3	3
CHEMBL4065	11606	Carboxypeptidase B	P09955	SINGLE PROTEIN	Sus scrofa	31	48
CHEMBL3112381	108029	D-alanyl-D-alanine carboxypeptidase DacA	P08750	SINGLE PROTEIN	Bacillus subtilis (strain 168)	2	2
CHEMBL3774301	116755	Cysteine proteinase 1	Q01957	SINGLE PROTEIN	Entamoeba histolytica	3	3
CHEMBL3713453	115414	Bone morphogenetic protein 10	O95393	SINGLE PROTEIN	Homo sapiens	0	0
CHEMBL3763002	116728	Leucine aminopeptidase	Q29571	SINGLE PROTEIN	Sus scrofa	38	61
CHEMBL3734641	116681	Prolyl endopeptidase FAP	A5D7B7	SINGLE PROTEIN	Bos taurus	27	27
CHEMBL3885505	117049	Matrix metalloproteinase 2/9	P08253, P14780	PROTEIN FAMILY	Homo sapiens	1	1
CHEMBL3831223	116855	Aminopeptidase	O43895, P15144, P28838, P50579, P53582, P55786, Q07075, Q6P179, Q6Q4G3, Q6UB28, Q8N6M6, Q8NDH3, Q9H4A4, Q9HAU8, Q9NQH7, Q9NQW7, Q9NZ08, Q9UIQ6, Q9ULA0	PROTEIN FAMILY	Homo sapiens	0	0
CHEMBL2299	12168	Epoxide hydrolase 1	P07687	SINGLE PROTEIN	Rattus norvegicus	16	31
CHEMBL2316	12619	Granzyme B	P10144	SINGLE PROTEIN	Homo sapiens	37	41
CHEMBL2526	10701	Methionine aminopeptidase 1	Q01662	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	129	139
CHEMBL2552	10926	Carboxypeptidase B	P15086	SINGLE PROTEIN	Homo sapiens	88	105
CHEMBL2590	11634	Aminopeptidase N	P15145	SINGLE PROTEIN	Sus scrofa	1309	1485
CHEMBL1907	243	Aminopeptidase N	P15144	SINGLE PROTEIN	Homo sapiens	575	680
CHEMBL286	11225	Renin	P00797	SINGLE PROTEIN	Homo sapiens	3216	4926
CHEMBL2000	23	Plasma kallikrein	P03952	SINGLE PROTEIN	Homo sapiens	1314	1481
CHEMBL2205	11066	Calpain small subunit 1	P04574	SINGLE PROTEIN	Sus scrofa	36	37
CHEMBL3131	11090	Caspase-5	P51878	SINGLE PROTEIN	Homo sapiens	80	131
CHEMBL3159	10043	Trypsin II	P07478	SINGLE PROTEIN	Homo sapiens	14	14
CHEMBL2602	12933	Cathepsin B	P00787	SINGLE PROTEIN	Rattus norvegicus	34	34
CHEMBL2642	11711	Neprilysin	Q61391	SINGLE PROTEIN	Mus musculus	24	36
CHEMBL2954	11534	Cathepsin S	P25774	SINGLE PROTEIN	Homo sapiens	2489	3263
CHEMBL2970	11774	Xaa-Pro aminopeptidase 2	Q99MA2	SINGLE PROTEIN	Rattus norvegicus	13	16
CHEMBL3837	10498	Cathepsin L	P07711	SINGLE PROTEIN	Homo sapiens	2629	3028
CHEMBL3870	11615	Matrix metalloproteinase 9	P50282	SINGLE PROTEIN	Rattus norvegicus	37	38
CHEMBL3488	100590	Falcipain 2B	Q3HTL5	SINGLE PROTEIN	Plasmodium falciparum	11	11
CHEMBL3517	10213	Elastase 1	P00772	SINGLE PROTEIN	Sus scrofa	81	85
CHEMBL3518	14073	Human herpesvirus 1 protease	P10210	SINGLE PROTEIN	Herpes simplex virus (type 1 / strain 17)	35	37
CHEMBL3776	10244	Caspase-8	Q14790	SINGLE PROTEIN	Homo sapiens	865	984
CHEMBL4035	11920	Prolyl endopeptidase	O70196	SINGLE PROTEIN	Rattus norvegicus	69	113
CHEMBL4073	12738	Matrix metalloproteinase 7	P09237	SINGLE PROTEIN	Homo sapiens	817	921
CHEMBL4106	17107	Cathepsin D	P80209	SINGLE PROTEIN	Bos taurus	459	510
CHEMBL321	12592	Matrix metalloproteinase 9	P14780	SINGLE PROTEIN	Homo sapiens	4487	6157
CHEMBL4140	12673	Epoxide hydratase	P34914	SINGLE PROTEIN	Mus musculus	288	326
CHEMBL4143	17085	Calpain 2	P43367	SINGLE PROTEIN	Sus scrofa	1162	1164
CHEMBL4707	10226	Matrix metalloproteinase 26	Q9NRE1	SINGLE PROTEIN	Homo sapiens	22	23
CHEMBL4713	10004	Carboxypeptidase N, catalytic subunit	P15169	SINGLE PROTEIN	Homo sapiens	27	33
CHEMBL4444	12847	Vitamin K-dependent protein C	P04070	SINGLE PROTEIN	Homo sapiens	357	460
CHEMBL4510	100452	Cysteine protease falcipain-3	Q9NBA7	SINGLE PROTEIN	Plasmodium falciparum	46	47
CHEMBL4751	100577	Cysteine protease	Q95WR6	SINGLE PROTEIN	Leishmania donovani	30	30
CHEMBL4779	10436	Papain	P00784	SINGLE PROTEIN	Carica papaya	663	793
CHEMBL4812	10836	Kallikrein 8	O60259	SINGLE PROTEIN	Homo sapiens	15	21
