CHEMBL_ID	TID	PREF_NAME	PROTEIN_ACCESSION	TARGET_TYPE	ORGANISM	COMPOUNDS	ENDPOINTS
CHEMBL2535	11173	Glucose transporter	P11166	SINGLE PROTEIN	Homo sapiens	13560	14170
CHEMBL2071	164	Sulfonylurea receptor 1	Q09428	SINGLE PROTEIN	Homo sapiens	11	14
CHEMBL2721	11538	Excitatory amino acid transporter 3	P43005	SINGLE PROTEIN	Homo sapiens	218	378
CHEMBL2865	10446	Sodium/hydrogen exchanger 1	P23791	SINGLE PROTEIN	Oryctolagus cuniculus	1	2
CHEMBL3313	10059	Vesicular acetylcholine transporter	P81721	SINGLE PROTEIN	Torpedo californica	91	105
CHEMBL4054	13076	GABA transporter 1	P23978	SINGLE PROTEIN	Rattus norvegicus	120	216
CHEMBL4767	12943	Vesicular acetylcholine transporter	Q16572	SINGLE PROTEIN	Homo sapiens	238	268
CHEMBL4790	10952	Vacuolar ATP synthase subunit S1	Q15904	SINGLE PROTEIN	Homo sapiens	33	39
CHEMBL1075145	103079	Transitional endoplasmic reticulum ATPase	P55072	SINGLE PROTEIN	Homo sapiens	488	700
CHEMBL5685	101283	Solute carrier family 22 member 1	O15245	SINGLE PROTEIN	Homo sapiens	290	437
CHEMBL5748	101311	Canalicular multispecific organic anion transporter 1	Q92887	SINGLE PROTEIN	Homo sapiens	372	539
CHEMBL6120	102767	Solute carrier family 22 member 12	Q96S37	SINGLE PROTEIN	Homo sapiens	479	852
CHEMBL1781861	104153	Solute carrier organic anion transporter family member 1B2	Q9QZX8	SINGLE PROTEIN	Rattus norvegicus	30	36
CHEMBL1744524	104105	Sodium/myo-inositol cotransporter 2	Q8WWX8	SINGLE PROTEIN	Homo sapiens	3	3
CHEMBL1615383	103769	Solute carrier family 12 member 2	P55011	SINGLE PROTEIN	Homo sapiens	5	6
CHEMBL1293277	103710	Niemann-Pick C1 protein	O15118	SINGLE PROTEIN	Homo sapiens	18616	18901
CHEMBL1641347	103829	Solute carrier family 22 member 6	Q4U2R8	SINGLE PROTEIN	Homo sapiens	111	205
CHEMBL2096672	104827	Monoamine transporters; Norepinephrine & serotonin	P31652, Q9WTR4	SELECTIVITY GROUP	Rattus norvegicus	278	298
CHEMBL2073674	104615	Bile salt export pump	O70127	SINGLE PROTEIN	Rattus norvegicus	114	132
CHEMBL2073694	104635	Solute carrier family 22 member 4	Q9Z306	SINGLE PROTEIN	Mus musculus	2	2
CHEMBL1743122	104063	Solute carrier family 22 member 2	O15244	SINGLE PROTEIN	Homo sapiens	126	221
CHEMBL2073666	104607	Solute carrier family 22 member 8	Q9R1U7	SINGLE PROTEIN	Rattus norvegicus	63	95
CHEMBL2052039	104581	Long-chain fatty acid transport protein 1	Q60714	SINGLE PROTEIN	Mus musculus	74	77
CHEMBL2096685	104840	GABA transporter	P31648, P31649, P31650, P31651	PROTEIN FAMILY	Mus musculus	97	190
CHEMBL1955711	104465	Solute carrier family 22 member 7	Q9Y694	SINGLE PROTEIN	Homo sapiens	32	39
CHEMBL2111478	105007	GABA transporter	P23978, P31646, P31647, P48056	PROTEIN FAMILY	Rattus norvegicus	79	96
CHEMBL1075135	103064	Multidrug resistance protein 1a	Q6PSM0	SINGLE PROTEIN	Rattus norvegicus	81	106
CHEMBL5780	101328	Sodium/nucleoside cotransporter 2	O43868	SINGLE PROTEIN	Homo sapiens	63	84
CHEMBL2073693	104634	Solute carrier family 22 member 5	O76082	SINGLE PROTEIN	Homo sapiens	73	96
